,5d45d84d1a2c130015ebc6ee
PlayerDetails,5d45d84d1a2c130015ebc6ee
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RD
Pond2_#Fishes,19
Pond6_Type,RT
Pond6_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,19
Pond11_Type,RD
Pond11_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,17
Pond10_Type,RD
Pond10_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:11:05 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.633
Pond2Fish1_PondTime,7.627
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,12
Pond2Fish1_TimeLeft,1194.772
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.757
Pond2Fish2_PondTime,13.579
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,24
Pond2Fish2_TimeLeft,1188.82
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.94
Pond2Fish3_PondTime,19.696
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,36
Pond2Fish3_TimeLeft,1182.703
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,-1
Pond2Fish4_PondTime,26.144
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,36
Pond2Fish4_TimeLeft,1176.255
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.021
Pond2Fish5_PondTime,32.795
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,48
Pond2Fish5_TimeLeft,1169.604
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.533
Pond2Fish6_PondTime,39.781
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,60
Pond2Fish6_TimeLeft,1162.618
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.876
Pond2Fish7_PondTime,47.148
Pond2Fish7_PondOutcome,62
Pond2Fish7_TotalOutcome,62
Pond2Fish7_TimeLeft,1155.25
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.606
Pond2Fish8_PondTime,54.968
Pond2Fish8_PondOutcome,74
Pond2Fish8_TotalOutcome,74
Pond2Fish8_TimeLeft,1147.431
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.788
Pond2Fish9_PondTime,63.332
Pond2Fish9_PondOutcome,86
Pond2Fish9_TotalOutcome,86
Pond2Fish9_TimeLeft,1139.067
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.135
Pond2Fish10_PondTime,72.366
Pond2Fish10_PondOutcome,98
Pond2Fish10_TotalOutcome,98
Pond2Fish10_TimeLeft,1130.032
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.375
Pond2Fish11_PondTime,82.235
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,110
Pond2Fish11_TimeLeft,1120.164
PondEnd_LastFish,11
FishN,12
Type,RD
GiveUpTime,0.994
PondTime,82.807
TimeLeft,1119.085
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,19.45002608001232
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.898
Pond6Fish1_PondTime,9.284
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,120
Pond6Fish1_TimeLeft,1089.7
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.905
Pond6Fish2_PondTime,17.1
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,130
Pond6Fish2_TimeLeft,1081.884
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
