,5c636850bad3560001c2749e
PlayerDetails,5c636850bad3560001c2749e
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,13
Pond3_Type,N
Pond3_#Fishes,18
Pond6_Type,RD
Pond6_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,14
Pond4_Type,N
Pond4_#Fishes,14
Pond12_Type,N
Pond12_#Fishes,12
Pond2_Type,RT
Pond2_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:22:39 GMT+0200 (Eastern European Standard Time)
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.035
Pond1Fish1_PondTime,8.564
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1193.835
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.757
Pond1Fish2_PondTime,15.547
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1186.852
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.199
Pond1Fish3_PondTime,22.914
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1179.485
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.123
Pond1Fish4_PondTime,30.73
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,40
Pond1Fish4_TimeLeft,1171.669
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.134
Pond1Fish5_PondTime,39.095
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,50
Pond1Fish5_TimeLeft,1163.304
PondEnd_LastFish,5
FishN,19
Type,RT
GiveUpTime,1.225
PondTime,39.668
TimeLeft,1162.227
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,16.246028780005872
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,0.868
Pond11Fish1_PondTime,9.284
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,61
Pond11Fish1_TimeLeft,1136.086
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,0.595
Pond11Fish2_PondTime,17.1
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,72
Pond11Fish2_TimeLeft,1128.27
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.055
Pond11Fish3_PondTime,25.465
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,83
Pond11Fish3_TimeLeft,1119.905
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.172
Pond11Fish4_PondTime,34.497
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,94
Pond11Fish4_TimeLeft,1110.873
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.224
Pond11Fish5_PondTime,44.365
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,105
Pond11Fish5_TimeLeft,1101.005
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,1.232
Pond11Fish6_PondTime,55.299
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,116
Pond11Fish6_TimeLeft,1090.071
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.031
Pond11Fish7_PondTime,67.664
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,127
Pond11Fish7_TimeLeft,1077.706
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.345
Pond11Fish8_PondTime,82.047
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,138
Pond11Fish8_TimeLeft,1063.323
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,15.479
PondTime,97.073
TimeLeft,1047.795
PondOutcome,88
TotalOutcome,138
PondStart,PondStart
PondIntroTime,11.950025977566838
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.218
Pond3Fish1_PondTime,7.8
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,149
Pond3Fish1_TimeLeft,1027.424
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.125
Pond3Fish2_PondTime,13.918
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,160
Pond3Fish2_TimeLeft,1021.306
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.061
Pond3Fish3_PondTime,20.284
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,171
Pond3Fish3_TimeLeft,1014.94
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.303
Pond3Fish4_PondTime,26.933
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,182
Pond3Fish4_TimeLeft,1008.291
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.045
Pond3Fish5_PondTime,33.916
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,193
Pond3Fish5_TimeLeft,1001.308
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.112
Pond3Fish6_PondTime,41.284
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,204
Pond3Fish6_TimeLeft,993.94
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.121
Pond3Fish7_PondTime,49.099
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,215
Pond3Fish7_TimeLeft,986.125
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.953
Pond3Fish8_PondTime,57.466
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,226
Pond3Fish8_TimeLeft,977.758
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.204
Pond3Fish9_PondTime,66.498
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,237
Pond3Fish9_TimeLeft,968.726
Type,N
FishN,19
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.104
Pond3Fish10_PondTime,76.367
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,248
Pond3Fish10_TimeLeft,958.857
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,2.235
PondTime,77.931
TimeLeft,956.789
PondOutcome,110
TotalOutcome,248
PondStart,PondStart
PondIntroTime,13.95916775567457
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.898
Pond6Fish1_PondTime,9.268
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,260
Pond6Fish1_TimeLeft,932.926
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,gray
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.822
Pond6Fish2_PondTime,17.084
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,262
Pond6Fish2_TimeLeft,925.11
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,-1
Pond6Fish3_PondTime,25.634
Pond6Fish3_PondOutcome,14
Pond6Fish3_TotalOutcome,262
Pond6Fish3_TimeLeft,916.56
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.735
Pond6Fish4_PondTime,34.666
Pond6Fish4_PondOutcome,26
Pond6Fish4_TotalOutcome,274
Pond6Fish4_TimeLeft,907.527
Type,RD
