,5bdb859c18f1b90001738f45bdb859c18f1b90001738f4a
PlayerDetails,5bdb859c18f1b90001738f45bdb859c18f1b90001738f4a
GameCompleted,exited
Selected ponds in the game,=======
Pond5_Type,RT
Pond5_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:39:55 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.995
Pond5Fish1_PondTime,7.686
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,20
Pond5Fish1_TimeLeft,1194.68
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.877
Pond5Fish2_PondTime,13.614
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,30
Pond5Fish2_TimeLeft,1188.753
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.73
Pond5Fish3_PondTime,19.782
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,40
Pond5Fish3_TimeLeft,1182.584
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.56
Pond5Fish4_PondTime,26.166
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,50
Pond5Fish4_TimeLeft,1176.2
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.783
Pond5Fish5_PondTime,32.85
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,60
Pond5Fish5_TimeLeft,1169.517
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.755
Pond5Fish6_PondTime,39.852
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,70
Pond5Fish6_TimeLeft,1162.515
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.408
Pond5Fish7_PondTime,47.234
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,80
Pond5Fish7_TimeLeft,1155.133
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,1.69
PondTime,48.535
TimeLeft,1153.322
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,17.485475239809602
