,5d209dad84b46c000177a6595d209dad84b46c000177a659
PlayerDetails,5d209dad84b46c000177a6595d209dad84b46c000177a659
GameCompleted,declined
Selected ponds in the game,=======
Pond8_Type,RD
Pond8_#Fishes,19
Pond5_Type,N
Pond5_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,13
Pond11_Type,RD
Pond11_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,18
Pond7_Type,RD
Pond7_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:10:30 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.982
Pond8Fish1_PondTime,7.616
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1194.782
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.193
Pond8Fish2_PondTime,13.531
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,24
Pond8Fish2_TimeLeft,1188.868
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.133
Pond8Fish3_PondTime,19.658
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,36
Pond8Fish3_TimeLeft,1182.741
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,1.196
Pond8Fish4_PondTime,26.037
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,48
Pond8Fish4_TimeLeft,1176.362
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.431
Pond8Fish5_PondTime,32.703
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,60
Pond8Fish5_TimeLeft,1169.696
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,0.982
Pond8Fish6_PondTime,39.7
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,72
Pond8Fish6_TimeLeft,1162.699
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.291
Pond8Fish7_PondTime,47.082
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,84
Pond8Fish7_TimeLeft,1155.317
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.228
Pond8Fish8_PondTime,54.912
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,96
Pond8Fish8_TimeLeft,1147.487
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,0.926
Pond8Fish9_PondTime,63.289
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,108
Pond8Fish9_TimeLeft,1139.109
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.095
Pond8Fish10_PondTime,72.333
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,120
Pond8Fish10_TimeLeft,1130.066
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.125
Pond8Fish11_PondTime,82.215
Pond8Fish11_PondOutcome,132
Pond8Fish11_TotalOutcome,132
Pond8Fish11_TimeLeft,1120.184
Type,RD
FishN,17
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.094
Pond8Fish12_PondTime,93.16
Pond8Fish12_PondOutcome,144
Pond8Fish12_TotalOutcome,144
Pond8Fish12_TimeLeft,1109.239
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,3.364
PondTime,95.826
TimeLeft,1106.069
PondOutcome,144
TotalOutcome,144
PondStart,PondStart
PondIntroTime,12.987626090180129
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.222
Pond5Fish1_PondTime,8.9
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,155
Pond5Fish1_TimeLeft,1083.56
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.982
Pond5Fish2_PondTime,16.28
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,166
Pond5Fish2_TimeLeft,1076.18
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.217
Pond5Fish3_PondTime,24.119
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,177
Pond5Fish3_TimeLeft,1068.34
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
