,5d811b576c61db00018d5d9a
PlayerDetails,5d811b576c61db00018d5d9a
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RT
Pond9_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,13
Pond4_Type,RT
Pond4_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:33:09 GMT+0100 (CET)
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.17
Pond9Fish1_PondTime,8.899
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,10
Pond9Fish1_TimeLeft,1193.496
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.788
Pond9Fish2_PondTime,16.354
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,20
Pond9Fish2_TimeLeft,1186.042
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.586
Pond9Fish3_PondTime,24.177
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,30
Pond9Fish3_TimeLeft,1178.218
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.408
Pond9Fish4_PondTime,32.566
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,40
Pond9Fish4_TimeLeft,1169.83
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.038
Pond9Fish5_PondTime,41.599
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,50
Pond9Fish5_TimeLeft,1160.797
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.095
Pond9Fish6_PondTime,51.474
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,60
Pond9Fish6_TimeLeft,1150.922
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,0.901
Pond9Fish7_PondTime,62.417
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,70
Pond9Fish7_TimeLeft,1139.979
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.289
Pond9Fish8_PondTime,74.784
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,80
Pond9Fish8_TimeLeft,1127.612
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,-1
Pond9Fish9_PondTime,89.21
Pond9Fish9_PondOutcome,80
Pond9Fish9_TotalOutcome,80
Pond9Fish9_TimeLeft,1113.186
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,1.594
Pond9Fish10_PondTime,106.58
Pond9Fish10_PondOutcome,90
Pond9Fish10_TotalOutcome,90
Pond9Fish10_TimeLeft,1095.816
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,2.565
PondTime,108.942
TimeLeft,1092.95
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,17.03740642638877
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,9.361
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,90
Pond7Fish1_TimeLeft,1065.916
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.552
Pond7Fish2_PondTime,17.184
Pond7Fish2_PondOutcome,10
Pond7Fish2_TotalOutcome,100
Pond7Fish2_TimeLeft,1058.092
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.931
Pond7Fish3_PondTime,25.555
Pond7Fish3_PondOutcome,20
Pond7Fish3_TotalOutcome,110
Pond7Fish3_TimeLeft,1049.721
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.237
Pond7Fish4_PondTime,34.587
Pond7Fish4_PondOutcome,30
Pond7Fish4_TotalOutcome,120
Pond7Fish4_TimeLeft,1040.69
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,-1
Pond7Fish5_PondTime,44.671
Pond7Fish5_PondOutcome,30
Pond7Fish5_TotalOutcome,120
Pond7Fish5_TimeLeft,1030.606
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.768
Pond7Fish6_PondTime,55.611
Pond7Fish6_PondOutcome,40
Pond7Fish6_TotalOutcome,130
Pond7Fish6_TimeLeft,1019.666
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,0.962
Pond7Fish7_PondTime,67.981
Pond7Fish7_PondOutcome,50
Pond7Fish7_TotalOutcome,140
Pond7Fish7_TimeLeft,1007.296
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,1.397
Pond7Fish8_PondTime,82.346
Pond7Fish8_PondOutcome,60
Pond7Fish8_TotalOutcome,150
Pond7Fish8_TimeLeft,992.931
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,12
Pond7Fish9_CatchTime,0.99
Pond7Fish9_PondTime,99.712
Pond7Fish9_PondOutcome,70
Pond7Fish9_TotalOutcome,160
Pond7Fish9_TimeLeft,975.565
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,golden
Pond7Fish10_FishLatency,15
Pond7Fish10_CatchTime,0.932
Pond7Fish10_PondTime,122.082
Pond7Fish10_PondOutcome,90
Pond7Fish10_TotalOutcome,180
Pond7Fish10_TimeLeft,953.195
Type,RT
FishN,15
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,20
Pond7Fish11_CatchTime,1.002
Pond7Fish11_PondTime,154.453
Pond7Fish11_PondOutcome,100
Pond7Fish11_TotalOutcome,190
Pond7Fish11_TimeLeft,920.824
Type,RT
FishN,15
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,30
Pond7Fish12_CatchTime,0.849
Pond7Fish12_PondTime,216.815
Pond7Fish12_PondOutcome,110
Pond7Fish12_TotalOutcome,200
Pond7Fish12_TimeLeft,858.462
Type,RT
FishN,15
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,60
