,5c704329d25ffb00016fa39f
PlayerDetails,5c704329d25ffb00016fa39f
GameCompleted,declined
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,13
Pond10_Type,N
Pond10_#Fishes,15
Pond7_Type,RT
Pond7_#Fishes,14
Pond12_Type,N
Pond12_#Fishes,16
Pond6_Type,RD
Pond6_#Fishes,17
Pond4_Type,RD
Pond4_#Fishes,17
Pond5_Type,N
Pond5_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,14
Pond1_Type,N
Pond1_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:44:11 GMT+0100 (Ora standard dell’Europa centrale)
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.019
Pond9Fish1_PondTime,9.296
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1193.089
PondEnd_LastFish,1
FishN,16
Type,N
GiveUpTime,4.7
PondTime,13.226
TimeLeft,1188.653
PondOutcome,11
TotalOutcome,11
PondStart,PondStart
PondIntroTime,10.750872613862157
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.986
Pond10Fish1_PondTime,8.594
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,22
Pond10Fish1_TimeLeft,1168.682
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.162
Pond10Fish2_PondTime,15.605
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,33
Pond10Fish2_TimeLeft,1161.67
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,0.869
Pond10Fish3_PondTime,23.02
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,44
Pond10Fish3_TimeLeft,1154.256
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.861
Pond10Fish4_PondTime,30.874
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,55
Pond10Fish4_TimeLeft,1146.402
PondEnd_LastFish,4
FishN,19
Type,N
GiveUpTime,1.047
PondTime,30.97
TimeLeft,1145.801
PondOutcome,44
TotalOutcome,55
PondStart,PondStart
PondIntroTime,15.824292548932135
PondEnd_LastFish,4
FishN,15
Type,RT
GiveUpTime,14.992
PondTime,0.349
TimeLeft,1128.486
PondOutcome,0
TotalOutcome,55
PondStart,PondStart
PondIntroTime,15.194592117331922
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.911
Pond12Fish1_PondTime,8.292
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,66
Pond12Fish1_TimeLeft,1104.366
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.032
Pond12Fish2_PondTime,14.976
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,77
Pond12Fish2_TimeLeft,1097.681
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.284
Pond12Fish3_PondTime,22.006
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,88
Pond12Fish3_TimeLeft,1090.652
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.235
Pond12Fish4_PondTime,30.959
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,99
Pond12Fish4_TimeLeft,1081.699
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.188
Pond12Fish5_PondTime,38.819
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,110
Pond12Fish5_TimeLeft,1073.839
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.293
Pond12Fish6_PondTime,47.221
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,121
Pond12Fish6_TimeLeft,1065.437
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.931
Pond12Fish7_PondTime,56.283
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,132
Pond12Fish7_TimeLeft,1056.375
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.063
Pond12Fish8_PondTime,66.213
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,143
Pond12Fish8_TimeLeft,1046.444
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,2.011
PondTime,67.464
TimeLeft,1044.686
PondOutcome,88
TotalOutcome,143
PondStart,PondStart
PondIntroTime,19.135998357087374
Type,RD
FishN,19
Fish,1
