,5c94bac30955b70012a521ce
PlayerDetails,5c94bac30955b70012a521ce
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,N
Pond7_#Fishes,17
Pond12_Type,N
Pond12_#Fishes,15
Pond8_Type,RD
Pond8_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,17
Pond1_Type,RD
Pond1_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,16
Pond10_Type,RT
Pond10_#Fishes,15
Pond6_Type,RT
Pond6_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 13:18:57 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης)
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.377
Pond7Fish1_PondTime,8.894
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,11
Pond7Fish1_TimeLeft,1193.504
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.192
Pond7Fish2_PondTime,15.279
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,22
Pond7Fish2_TimeLeft,1187.119
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.122
Pond7Fish3_PondTime,21.978
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,33
Pond7Fish3_TimeLeft,1180.419
Type,N
FishN,15
