,5c0d39b34bc2690001b65ade
PlayerDetails,5c0d39b34bc2690001b65ade
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RD
Pond2_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,14
Pond12_Type,N
Pond12_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,16
Pond1_Type,N
Pond1_#Fishes,18
Pond7_Type,RD
Pond7_#Fishes,19
Pond10_Type,RT
Pond10_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:13:46 GMT+0100 (Central European Standard Time)
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,1.408
Pond2Fish1_PondTime,8.033
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,12
Pond2Fish1_TimeLeft,1194.364
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.332
Pond2Fish2_PondTime,14.4
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,24
Pond2Fish2_TimeLeft,1187.998
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,1.489
Pond2Fish3_PondTime,21.048
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,36
Pond2Fish3_TimeLeft,1181.35
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,1.414
Pond2Fish4_PondTime,28.029
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,48
Pond2Fish4_TimeLeft,1174.369
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.825
Pond2Fish5_PondTime,35.393
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,60
Pond2Fish5_TimeLeft,1167.005
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.972
Pond2Fish6_PondTime,43.207
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,72
Pond2Fish6_TimeLeft,1159.19
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.885
Pond2Fish7_PondTime,51.572
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,74
Pond2Fish7_TimeLeft,1150.826
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,1.126
Pond2Fish8_PondTime,60.61
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,86
Pond2Fish8_TimeLeft,1141.788
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,gray
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.934
Pond2Fish9_PondTime,70.468
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,88
Pond2Fish9_TimeLeft,1131.93
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,7.5
