,5dfeb042820526b4f5c5615e
PlayerDetails,5dfeb042820526b4f5c5615e
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RT
Pond5_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,19
Pond2_Type,RT
Pond2_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,15
Pond7_Type,N
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:28:25 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,0.73
Pond5Fish1_PondTime,8.011
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,10
Pond5Fish1_TimeLeft,1194.388
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.804
Pond5Fish2_PondTime,14.379
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,20
Pond5Fish2_TimeLeft,1188.02
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.695
Pond5Fish3_PondTime,21.063
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,30
Pond5Fish3_TimeLeft,1181.336
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.663
Pond5Fish4_PondTime,28.063
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,40
Pond5Fish4_TimeLeft,1174.336
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.636
Pond5Fish5_PondTime,35.461
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,50
Pond5Fish5_TimeLeft,1166.937
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,0.853
Pond5Fish6_PondTime,44.401
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,60
Pond5Fish6_TimeLeft,1157.997
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,0.745
Pond5Fish7_PondTime,52.763
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,70
Pond5Fish7_TimeLeft,1149.636
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,0.92
Pond5Fish8_PondTime,61.797
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,80
Pond5Fish8_TimeLeft,1140.602
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,0.727
Pond5Fish9_PondTime,71.676
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,90
Pond5Fish9_TimeLeft,1130.723
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,0.842
Pond5Fish10_PondTime,82.602
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,100
Pond5Fish10_TimeLeft,1119.797
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,golden
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,0.784
Pond5Fish11_PondTime,94.997
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,120
Pond5Fish11_TimeLeft,1107.402
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,0.757
Pond5Fish12_PondTime,109.383
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,130
Pond5Fish12_TimeLeft,1093.016
Type,RT
FishN,12
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,12
Pond5Fish13_CatchTime,1.087
Pond5Fish13_PondTime,126.749
Pond5Fish13_PondOutcome,140
Pond5Fish13_TotalOutcome,140
Pond5Fish13_TimeLeft,1075.65
Type,RT
FishN,12
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,15
Pond5Fish14_CatchTime,0.706
Pond5Fish14_PondTime,149.122
Pond5Fish14_PondOutcome,150
Pond5Fish14_TotalOutcome,150
Pond5Fish14_TimeLeft,1053.277
PondEnd_LastFish,14
FishN,12
Type,RT
GiveUpTime,0.408
PondTime,181.158
TimeLeft,1020.738
PondOutcome,150
TotalOutcome,150
PondStart,PondStart
PondIntroTime,14.993918610271066
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.828
Pond6Fish1_PondTime,9.743
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,160
Pond6Fish1_TimeLeft,995.351
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.828
Pond6Fish2_PondTime,18.121
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,170
Pond6Fish2_TimeLeft,986.973
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.247
Pond6Fish3_PondTime,27.147
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,180
Pond6Fish3_TimeLeft,977.947
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.999
Pond6Fish4_PondTime,37.012
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,190
Pond6Fish4_TimeLeft,968.082
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.074
Pond6Fish5_PondTime,47.97
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,200
Pond6Fish5_TimeLeft,957.124
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.938
Pond6Fish6_PondTime,61.337
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,210
Pond6Fish6_TimeLeft,943.757
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.995
Pond6Fish7_PondTime,77.503
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,220
Pond6Fish7_TimeLeft,927.591
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,0.936
Pond6Fish8_PondTime,94.889
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,230
Pond6Fish8_TimeLeft,910.205
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,golden
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,0.839
Pond6Fish9_PondTime,117.275
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,250
Pond6Fish9_TimeLeft,887.819
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,20
Pond6Fish10_CatchTime,1.024
Pond6Fish10_PondTime,149.658
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,260
Pond6Fish10_TimeLeft,855.436
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,30
Pond6Fish11_CatchTime,1.049
Pond6Fish11_PondTime,212.015
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,270
Pond6Fish11_TimeLeft,793.079
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,60
Pond6Fish12_CatchTime,0.835
Pond6Fish12_PondTime,214.39
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,280
Pond6Fish12_TimeLeft,790.704
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,43.837
PondTime,257.26
TimeLeft,747.332
PondOutcome,130
TotalOutcome,280
PondStart,PondStart
PondIntroTime,13.8623853540048
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.933
Pond3Fish1_PondTime,7.622
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,290
