,5af42fb7c937e00001113bb0
PlayerDetails,5af42fb7c937e00001113bb0
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,17
Pond11_Type,N
Pond11_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,16
Pond4_Type,N
Pond4_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,13
Pond7_Type,N
Pond7_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:29:25 GMT+0100 (Central European Standard Time)
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.16
Pond10Fish1_PondTime,8.016
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1194.383
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.012
Pond10Fish2_PondTime,14.386
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1188.012
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.892
Pond10Fish3_PondTime,21.025
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,36
Pond10Fish3_TimeLeft,1181.373
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.901
Pond10Fish4_PondTime,28
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,48
Pond10Fish4_TimeLeft,1174.398
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.03
Pond10Fish5_PondTime,35.359
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,60
Pond10Fish5_TimeLeft,1167.04
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,gray
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.325
Pond10Fish6_PondTime,43.185
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,62
Pond10Fish6_TimeLeft,1159.214
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.954
Pond10Fish7_PondTime,51.548
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,74
Pond10Fish7_TimeLeft,1150.851
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.976
Pond10Fish8_PondTime,60.58
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,86
Pond10Fish8_TimeLeft,1141.819
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.063
Pond10Fish9_PondTime,70.448
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,98
Pond10Fish9_TimeLeft,1131.95
Type,RD
FishN,19
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.036
Pond10Fish10_PondTime,81.386
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1121.013
Type,RD
FishN,19
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.046
Pond10Fish11_PondTime,93.744
Pond10Fish11_PondOutcome,122
Pond10Fish11_TotalOutcome,122
Pond10Fish11_TimeLeft,1108.654
Type,RD
FishN,19
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.047
Pond10Fish12_PondTime,108.114
Pond10Fish12_PondOutcome,134
Pond10Fish12_TotalOutcome,134
Pond10Fish12_TimeLeft,1094.285
Type,RD
FishN,19
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,0.767
Pond10Fish13_PondTime,125.473
Pond10Fish13_PondOutcome,146
Pond10Fish13_TotalOutcome,146
Pond10Fish13_TimeLeft,1076.925
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,20.968
PondTime,145.409
TimeLeft,1056.486
PondOutcome,146
TotalOutcome,146
PondStart,PondStart
PondIntroTime,15.770293797831982
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.154
Pond11Fish1_PondTime,8.887
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,157
Pond11Fish1_TimeLeft,1031.203
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.883
Pond11Fish2_PondTime,16.247
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,168
Pond11Fish2_TimeLeft,1023.843
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1
Pond11Fish3_PondTime,24.059
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,179
Pond11Fish3_TimeLeft,1016.03
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.19
Pond11Fish4_PondTime,32.419
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,190
Pond11Fish4_TimeLeft,1007.671
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.742
Pond11Fish5_PondTime,41.453
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,201
Pond11Fish5_TimeLeft,998.636
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.834
Pond11Fish6_PondTime,51.319
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,212
Pond11Fish6_TimeLeft,988.771
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.377
Pond11Fish7_PondTime,62.257
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,223
Pond11Fish7_TimeLeft,977.833
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.331
Pond11Fish8_PondTime,74.617
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,234
Pond11Fish8_TimeLeft,965.472
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,1.139
Pond11Fish9_PondTime,88.983
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,245
Pond11Fish9_TimeLeft,951.106
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,1.241
Pond11Fish10_PondTime,106.347
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,256
Pond11Fish10_TimeLeft,933.743
Type,N
FishN,14
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,15
Pond11Fish11_CatchTime,1.155
Pond11Fish11_PondTime,128.706
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,267
Pond11Fish11_TimeLeft,911.384
PondEnd_LastFish,11
FishN,14
Type,N
GiveUpTime,23.962
PondTime,152.02
TimeLeft,887.566
PondOutcome,121
TotalOutcome,267
PondStart,PondStart
PondIntroTime,18.58527156058699
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.959
Pond8Fish1_PondTime,9.274
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,279
Pond8Fish1_TimeLeft,859.072
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.085
Pond8Fish2_PondTime,17.085
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,291
Pond8Fish2_TimeLeft,851.261
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.994
Pond8Fish3_PondTime,25.451
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,303
Pond8Fish3_TimeLeft,842.895
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.796
Pond8Fish4_PondTime,34.48
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,315
Pond8Fish4_TimeLeft,833.866
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.247
Pond8Fish5_PondTime,44.35
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,327
Pond8Fish5_TimeLeft,823.996
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.086
Pond8Fish6_PondTime,55.287
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,339
Pond8Fish6_TimeLeft,813.059
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,0.862
Pond8Fish7_PondTime,67.646
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,351
Pond8Fish7_TimeLeft,800.7
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.6
