,5c27fbd7da51990001e2ed0b
PlayerDetails,5c27fbd7da51990001e2ed0b
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RD
Pond1_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,15
Pond9_Type,N
Pond9_#Fishes,14
Pond11_Type,RT
Pond11_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,18
Pond3_Type,N
Pond3_#Fishes,13
Pond12_Type,RD
Pond12_#Fishes,15
Pond2_Type,N
Pond2_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,19
Pond4_Type,N
Pond4_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:42:31 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης)
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.315
Pond1Fish1_PondTime,8.286
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1194.106
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.162
Pond1Fish2_PondTime,14.952
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,24
Pond1Fish2_TimeLeft,1187.44
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.1
Pond1Fish3_PondTime,22.023
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,36
Pond1Fish3_TimeLeft,1180.369
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.956
Pond1Fish4_PondTime,29.458
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,48
Pond1Fish4_TimeLeft,1172.934
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.336
Pond1Fish5_PondTime,37.3
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1165.092
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.122
Pond1Fish6_PondTime,45.706
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,72
Pond1Fish6_TimeLeft,1156.686
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.06
Pond1Fish7_PondTime,54.744
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,84
Pond1Fish7_TimeLeft,1147.648
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.838
Pond1Fish8_PondTime,64.619
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,96
Pond1Fish8_TimeLeft,1137.773
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.044
Pond1Fish9_PondTime,75.563
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,108
Pond1Fish9_TimeLeft,1126.829
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.97
Pond1Fish10_PondTime,87.936
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,120
Pond1Fish10_TimeLeft,1114.456
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,1.365
Pond1Fish11_PondTime,102.375
Pond1Fish11_PondOutcome,132
Pond1Fish11_TotalOutcome,132
Pond1Fish11_TimeLeft,1100.017
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,1.274
PondTime,103.214
TimeLeft,1098.676
PondOutcome,132
TotalOutcome,132
PondStart,PondStart
PondIntroTime,17.01894069556147
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.105
Pond10Fish1_PondTime,9.298
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,143
Pond10Fish1_TimeLeft,1071.698
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.613
Pond10Fish2_PondTime,17.136
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,154
Pond10Fish2_TimeLeft,1063.86
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.264
Pond10Fish3_PondTime,25.575
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,165
Pond10Fish3_TimeLeft,1055.421
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.214
Pond10Fish4_PondTime,34.649
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,176
Pond10Fish4_TimeLeft,1046.347
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.276
Pond10Fish5_PondTime,44.52
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,187
Pond10Fish5_TimeLeft,1036.475
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.044
Pond10Fish6_PondTime,55.462
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,198
Pond10Fish6_TimeLeft,1025.534
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,1.294
Pond10Fish7_PondTime,67.868
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,209
Pond10Fish7_TimeLeft,1013.128
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,1.148
Pond10Fish8_PondTime,82.277
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,220
Pond10Fish8_TimeLeft,998.719
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,1.119
Pond10Fish9_PondTime,99.656
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,231
Pond10Fish9_TimeLeft,981.34
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,15
Pond10Fish10_CatchTime,1.148
Pond10Fish10_PondTime,122.103
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,242
Pond10Fish10_TimeLeft,958.893
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,27.67
PondTime,149.14
TimeLeft,931.354
PondOutcome,110
TotalOutcome,242
PondStart,PondStart
PondIntroTime,19.02912233490497
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.011
Pond8Fish1_PondTime,8.57
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,254
Pond8Fish1_TimeLeft,903.123
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.027
Pond8Fish2_PondTime,15.575
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,266
Pond8Fish2_TimeLeft,896.118
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.102
Pond8Fish3_PondTime,22.946
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,278
Pond8Fish3_TimeLeft,888.747
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,gray
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.062
Pond8Fish4_PondTime,30.785
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,280
Pond8Fish4_TimeLeft,880.908
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.541
Pond8Fish5_PondTime,39.225
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,282
Pond8Fish5_TimeLeft,872.468
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.087
Pond8Fish6_PondTime,48.264
Pond8Fish6_PondOutcome,52
Pond8Fish6_TotalOutcome,294
Pond8Fish6_TimeLeft,863.429
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.228
Pond8Fish7_PondTime,58.171
Pond8Fish7_PondOutcome,64
Pond8Fish7_TotalOutcome,306
Pond8Fish7_TimeLeft,853.522
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.863
Pond8Fish8_PondTime,69.211
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,318
Pond8Fish8_TimeLeft,842.482
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.28
Pond8Fish9_PondTime,81.585
Pond8Fish9_PondOutcome,78
Pond8Fish9_TotalOutcome,320
Pond8Fish9_TimeLeft,830.108
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,1.194
Pond8Fish10_PondTime,95.961
Pond8Fish10_PondOutcome,90
Pond8Fish10_TotalOutcome,332
Pond8Fish10_TimeLeft,815.732
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,gray
Pond8Fish11_FishLatency,12
