,5de0d1a68f63df128d42c590
PlayerDetails,5de0d1a68f63df128d42c590
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,17
Pond1_Type,RD
Pond1_#Fishes,15
Pond12_Type,RT
Pond12_#Fishes,15
Pond9_Type,RD
Pond9_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:13:51 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.115
Pond6Fish1_PondTime,8.013
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.386
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.045
Pond6Fish2_PondTime,14.379
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,24
Pond6Fish2_TimeLeft,1188.02
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.284
Pond6Fish3_PondTime,21.029
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,36
Pond6Fish3_TimeLeft,1181.37
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.156
Pond6Fish4_PondTime,28.013
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,48
Pond6Fish4_TimeLeft,1174.386
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.021
Pond6Fish5_PondTime,35.38
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,60
Pond6Fish5_TimeLeft,1167.019
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,0.812
Pond6Fish6_PondTime,43.196
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,72
Pond6Fish6_TimeLeft,1159.203
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.158
Pond6Fish7_PondTime,51.562
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,84
Pond6Fish7_TimeLeft,1150.837
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.104
Pond6Fish8_PondTime,60.596
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,96
Pond6Fish8_TimeLeft,1141.803
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,0.958
Pond6Fish9_PondTime,70.461
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,108
Pond6Fish9_TimeLeft,1131.938
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.664
Pond6Fish10_PondTime,81.394
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,120
Pond6Fish10_TimeLeft,1121.005
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.886
Pond6Fish11_PondTime,93.961
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,132
Pond6Fish11_TimeLeft,1108.438
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.288
Pond6Fish12_PondTime,108.328
Pond6Fish12_PondOutcome,144
Pond6Fish12_TotalOutcome,144
Pond6Fish12_TimeLeft,1094.071
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,14.18
PondTime,122.006
TimeLeft,1079.891
PondOutcome,144
TotalOutcome,144
PondStart,PondStart
PondIntroTime,14.31683006696403
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.153
Pond1Fish1_PondTime,8.55
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,156
Pond1Fish1_TimeLeft,1056.404
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4.285714285714286
